names_of_composers,num_of_albums
Steve Harris,80
U2,44
Jagger/Richards,35
Billy Corgan,31
Kurt Cobain,26
Bill Berry-Peter Buck-Mike Mills-Michael Stipe,25
The Tea Party,24
Miles Davis,23
Gilberto Gil,23
Chris Cornell,23
